age,annual_income,monthly_expenses,savings,existing_loan,loan_amount,credit_score,investment_experience,risk_tolerance,dependents,employment_type,emergency_fund_months,investment_goal,monthly_surplus,debt_to_income_ratio,recommendation
60,1987094,50459,33820,Yes,528295,802,Intermediate,Low,1,Business,12,Wealth Creation,115132,0.27,Avoid Loan
50,2250500,127863,2236163,Yes,1935607,781,Beginner,Medium,1,Self-Employed,7,Education,59678,0.86,Avoid Loan
32,2602356,150925,320452,Yes,2215320,551,Beginner,Low,0,Business,11,Wealth Creation,65938,0.85,Avoid Loan
33,2132407,60241,1090815,Yes,2315910,419,Intermediate,Low,3,Self-Employed,1,Education,117459,1.09,Avoid Loan
56,1945661,73545,1000741,No,0,696,Beginner,High,2,Business,12,Education,88593,0.0,Save
26,2155741,89518,1040562,Yes,642088,807,Beginner,Medium,3,Business,3,House,90127,0.3,Save
51,1306641,94379,1722419,Yes,745631,612,Beginner,Medium,5,Self-Employed,0,Retirement,14507,0.57,Avoid Loan
47,2698553,97614,1139790,No,0,657,Beginner,High,5,Business,3,Wealth Creation,127265,0.0,Save
21,1006742,58826,1700675,No,0,657,Beginner,Low,2,Salaried,10,Education,25069,0.0,Save
51,1861190,80170,156299,No,0,484,Beginner,Medium,5,Self-Employed,5,House,74929,0.0,Avoid Loan
27,2729734,109029,2430958,No,0,386,Beginner,Medium,5,Self-Employed,12,Wealth Creation,118448,0.0,Avoid Loan
36,2705567,22129,988277,No,0,869,Expert,Medium,2,Business,11,Retirement,203334,0.0,Invest
40,2574893,121854,98397,Yes,1251457,361,Expert,Low,2,Business,6,Wealth Creation,92720,0.49,Avoid Loan
38,2499793,93450,1356142,No,0,375,Expert,Medium,0,Business,1,Retirement,114866,0.0,Avoid Loan
42,738206,53388,1382120,No,0,452,Expert,High,2,Business,6,House,8129,0.0,Avoid Loan
58,1754528,33552,2084995,Yes,253513,781,Intermediate,High,0,Business,10,Retirement,112658,0.14,Invest
44,1484352,58441,1337961,No,0,377,Beginner,Low,4,Business,9,Education,65255,0.0,Avoid Loan
46,1561692,43747,2039878,No,0,662,Beginner,Medium,0,Salaried,8,Wealth Creation,86394,0.0,Save
43,2138569,159240,110361,No,0,754,Expert,Medium,1,Salaried,5,Wealth Creation,18974,0.0,Save
22,2416968,157683,1937075,No,0,411,Beginner,High,5,Salaried,11,Retirement,43731,0.0,Avoid Loan
42,1249900,26269,1075608,No,0,829,Intermediate,Medium,1,Salaried,11,Education,77889,0.0,Invest
50,1294159,52672,1149329,Yes,1240608,782,Beginner,Medium,3,Salaried,3,Retirement,55174,0.96,Avoid Loan
41,2538207,157752,892799,No,0,713,Intermediate,High,3,Self-Employed,4,Education,53765,0.0,Save
52,870789,23066,2324802,No,0,889,Beginner,Medium,3,Business,4,Education,49499,0.0,Save
30,841680,27288,646585,No,0,900,Expert,High,5,Self-Employed,4,Retirement,42852,0.0,Save
54,2587036,85125,99644,No,0,593,Intermediate,Low,1,Salaried,4,Retirement,130461,0.0,Avoid Loan
52,435103,21221,1397408,Yes,1286832,542,Expert,Low,4,Self-Employed,9,Wealth Creation,15037,2.96,Avoid Loan
31,1486504,110564,67410,Yes,1908187,486,Intermediate,Medium,3,Business,3,Wealth Creation,13311,1.28,Avoid Loan
53,1470543,51073,2083212,No,0,869,Beginner,Low,4,Business,5,House,71472,0.0,Save
34,2620598,101378,505546,No,0,614,Beginner,High,4,Salaried,11,Retirement,117005,0.0,Save
37,2807285,192938,1734809,Yes,1495514,638,Intermediate,Low,0,Salaried,1,Wealth Creation,41002,0.53,Avoid Loan
58,303823,21010,484913,No,0,837,Beginner,Medium,4,Salaried,3,House,4308,0.0,Save
48,734578,45684,122230,Yes,2425706,382,Intermediate,Medium,2,Self-Employed,5,Wealth Creation,15530,3.3,Avoid Loan
52,1666910,113150,1104083,No,0,507,Intermediate,Low,2,Business,3,Retirement,25759,0.0,Avoid Loan
52,2152976,135272,383493,Yes,1349660,848,Expert,Low,5,Self-Employed,1,Wealth Creation,44142,0.63,Avoid Loan
38,1540363,47797,1510427,No,0,576,Beginner,High,3,Salaried,11,Wealth Creation,80566,0.0,Avoid Loan
58,1500250,71761,2418654,No,0,890,Intermediate,Low,0,Salaried,3,Retirement,53259,0.0,Save
46,2021316,131968,371918,No,0,396,Expert,Medium,0,Business,3,Wealth Creation,36475,0.0,Avoid Loan
49,2945496,194789,2287914,No,0,408,Beginner,High,1,Business,12,Education,50669,0.0,Avoid Loan
22,375941,20239,1025758,Yes,2197754,729,Beginner,High,0,Self-Employed,1,Wealth Creation,11089,5.85,Avoid Loan
22,2954226,22007,1157907,Yes,219047,732,Beginner,Medium,3,Business,1,House,224178,0.07,Save
49,467099,16911,1107580,Yes,2174596,837,Expert,Low,2,Salaried,9,Retirement,22013,4.66,Avoid Loan
32,2884003,185234,846501,No,0,626,Beginner,High,5,Self-Employed,3,Education,55099,0.0,Save
49,933874,23503,1641853,No,0,441,Expert,Low,1,Self-Employed,9,House,54319,0.0,Avoid Loan
39,1333647,63631,1008695,No,0,364,Intermediate,High,2,Salaried,12,Wealth Creation,47506,0.0,Avoid Loan
49,2873104,95214,1811330,No,0,786,Beginner,Medium,0,Salaried,4,Wealth Creation,144211,0.0,Save
59,2809057,32365,2038790,Yes,847183,695,Beginner,Medium,3,Business,1,Wealth Creation,201723,0.3,Save
57,452086,21539,634268,Yes,1593940,496,Expert,Low,0,Self-Employed,0,Wealth Creation,16134,3.53,Avoid Loan
25,1882683,109216,1876483,No,0,697,Beginner,Medium,4,Self-Employed,1,Wealth Creation,47674,0.0,Save
49,1542457,83924,1611033,Yes,718398,850,Intermediate,Low,1,Salaried,1,Wealth Creation,44614,0.47,Avoid Loan
57,2295132,82791,1527016,Yes,2074150,453,Expert,Medium,2,Salaried,0,Retirement,108470,0.9,Avoid Loan
34,2908640,178938,2363350,No,0,803,Expert,Low,2,Self-Employed,7,Retirement,63448,0.0,Invest
22,1204942,58880,2085671,Yes,1278338,555,Beginner,Low,3,Business,7,House,41531,1.06,Avoid Loan
41,399173,24467,744183,Yes,253885,567,Expert,High,3,Business,8,Education,8797,0.64,Avoid Loan
23,817414,36145,464504,No,0,355,Beginner,High,3,Salaried,6,Education,31972,0.0,Avoid Loan
46,754132,51368,1797846,Yes,1372982,718,Intermediate,Medium,5,Business,7,Education,11476,1.82,Avoid Loan
31,1472411,56733,1389685,No,0,374,Intermediate,Medium,1,Self-Employed,11,Retirement,65967,0.0,Avoid Loan
43,1923162,22013,2198094,No,0,694,Beginner,Medium,5,Self-Employed,11,Wealth Creation,138250,0.0,Save
25,1477459,77477,1960868,No,0,710,Expert,Low,5,Business,1,Retirement,45644,0.0,Save
58,1456412,107512,931852,Yes,147813,654,Intermediate,Medium,1,Business,0,Retirement,13855,0.1,Save
47,823052,40500,1740261,No,0,771,Beginner,Medium,2,Business,7,Retirement,28087,0.0,Invest
60,787512,37846,712769,Yes,1640313,746,Intermediate,Low,2,Self-Employed,6,Retirement,27780,2.08,Avoid Loan
51,956647,31059,727041,No,0,675,Intermediate,Medium,1,Business,5,House,48661,0.0,Save
21,303649,17554,2341921,No,0,442,Beginner,High,3,Salaried,6,House,7750,0.0,Avoid Loan
50,260900,18361,1058590,Yes,2333889,738,Beginner,High,2,Salaried,8,Wealth Creation,3380,8.95,Avoid Loan
48,2324102,24558,2446023,Yes,935382,606,Expert,Low,3,Self-Employed,7,Education,169117,0.4,Save
34,2692614,123306,1836196,No,0,682,Intermediate,Medium,0,Self-Employed,1,Wealth Creation,101078,0.0,Save
26,1185308,56581,47835,No,0,583,Expert,High,3,Business,5,House,42194,0.0,Avoid Loan
40,2188832,162897,461632,No,0,734,Intermediate,High,1,Salaried,0,Education,19505,0.0,Save
59,708294,33395,1222911,Yes,2277788,802,Expert,High,5,Business,2,Retirement,25629,3.22,Avoid Loan
51,2242121,79654,2127404,Yes,1063602,624,Expert,Low,0,Business,11,Wealth Creation,107189,0.47,Avoid Loan
41,657353,37019,843250,Yes,635799,860,Beginner,Medium,1,Business,1,Wealth Creation,17760,0.97,Avoid Loan
58,2214902,63944,544588,No,0,844,Intermediate,Low,4,Salaried,9,Education,120631,0.0,Invest
41,1449916,71699,1771484,Yes,1989291,426,Expert,Medium,1,Self-Employed,9,House,49127,1.37,Avoid Loan
39,2977387,146806,1291728,No,0,440,Intermediate,High,5,Salaried,11,Education,101309,0.0,Avoid Loan
47,769244,53333,2449367,No,0,381,Intermediate,Low,3,Business,4,Wealth Creation,10770,0.0,Avoid Loan
30,2966956,129588,1017371,No,0,422,Beginner,Low,1,Business,12,Education,117658,0.0,Avoid Loan
52,1957025,95654,1855156,Yes,1195848,778,Expert,Medium,2,Business,10,Retirement,67431,0.61,Avoid Loan
53,725970,53337,298563,No,0,499,Intermediate,Medium,0,Salaried,5,Education,7160,0.0,Avoid Loan
38,853436,30511,1851375,No,0,813,Intermediate,Low,3,Self-Employed,11,Retirement,40608,0.0,Invest
42,2040097,77480,1784152,Yes,260492,591,Intermediate,Low,4,Salaried,1,Wealth Creation,92528,0.13,Avoid Loan
43,1169831,40983,2352570,No,0,536,Expert,Medium,0,Business,1,Wealth Creation,56502,0.0,Avoid Loan
35,2744248,18780,1218619,No,0,618,Intermediate,High,5,Business,10,House,209907,0.0,Save
49,1115269,47591,1066335,Yes,797031,669,Intermediate,Low,0,Salaried,0,Retirement,45348,0.71,Avoid Loan
29,469810,28590,1682900,Yes,447246,769,Intermediate,Low,5,Self-Employed,9,Retirement,10560,0.95,Avoid Loan
57,659950,21194,216577,No,0,664,Beginner,Medium,1,Business,4,House,33801,0.0,Save
52,251916,18047,876566,No,0,489,Beginner,Medium,5,Self-Employed,7,Education,2946,0.0,Avoid Loan
42,2857275,192823,1175420,No,0,372,Beginner,Medium,5,Self-Employed,2,Retirement,45283,0.0,Avoid Loan
45,1569769,62300,291375,Yes,1451653,830,Beginner,Medium,2,Self-Employed,12,Retirement,68514,0.92,Avoid Loan
52,1230676,78708,747981,No,0,597,Intermediate,Medium,2,Salaried,10,Education,23848,0.0,Avoid Loan
46,1828653,91972,1885448,No,0,431,Beginner,Medium,4,Salaried,8,Education,60415,0.0,Avoid Loan
34,940241,17052,2325702,Yes,2492255,353,Beginner,High,3,Salaried,8,Wealth Creation,61301,2.65,Avoid Loan
35,1722776,50718,2311318,No,0,538,Intermediate,Low,5,Self-Employed,4,Retirement,92846,0.0,Avoid Loan
37,1516079,33557,2155370,Yes,2428061,411,Beginner,Low,1,Salaried,0,House,92782,1.6,Avoid Loan
47,2956636,157591,1910496,No,0,766,Intermediate,Medium,2,Salaried,5,Retirement,88795,0.0,Save
25,1296481,33164,2154095,Yes,849872,738,Beginner,Medium,0,Self-Employed,0,House,74876,0.66,Avoid Loan
39,909548,37368,1046418,No,0,757,Expert,Low,3,Self-Employed,11,Education,38427,0.0,Invest
41,2297144,27905,397765,Yes,2125204,446,Expert,High,3,Salaried,8,Education,163523,0.93,Avoid Loan
22,1413607,20279,2406054,No,0,745,Intermediate,High,5,Self-Employed,7,Wealth Creation,97521,0.0,Invest
28,2749172,186661,798386,Yes,1591065,417,Expert,Low,0,Self-Employed,7,Education,42436,0.58,Avoid Loan
59,1926574,80293,476909,Yes,2280153,871,Intermediate,Medium,3,Salaried,11,Wealth Creation,80254,1.18,Avoid Loan
47,314405,22167,2188666,No,0,741,Beginner,Low,5,Self-Employed,9,Wealth Creation,4033,0.0,Save
43,2613999,21303,105508,No,0,386,Beginner,Medium,0,Business,0,House,196530,0.0,Avoid Loan
36,1073969,74630,1455682,Yes,2307253,389,Beginner,Medium,4,Salaried,10,Retirement,14867,2.15,Avoid Loan
30,1187402,55185,767533,No,0,677,Expert,Low,3,Business,1,House,43765,0.0,Save
26,1342892,65614,1572404,No,0,432,Beginner,Low,1,Self-Employed,11,Retirement,46293,0.0,Avoid Loan
58,775337,37456,478064,Yes,180175,870,Beginner,High,2,Salaried,5,Education,27155,0.23,Save
56,2666254,99890,835960,No,0,868,Intermediate,High,3,Self-Employed,11,House,122297,0.0,Invest
23,1241112,87261,2208265,No,0,900,Intermediate,Low,2,Self-Employed,0,Education,16165,0.0,Save
52,880462,47968,323830,Yes,2446995,440,Intermediate,Medium,2,Business,8,House,25403,2.78,Avoid Loan
48,2275540,82117,1276277,Yes,1276723,869,Intermediate,Low,0,Business,7,Wealth Creation,107511,0.56,Avoid Loan
39,1582324,113568,603838,Yes,2292102,669,Beginner,High,3,Business,1,House,18292,1.45,Avoid Loan
33,1146429,46394,1542465,No,0,823,Beginner,High,5,Business,11,Retirement,49141,0.0,Invest
29,2713288,138254,2125822,No,0,380,Beginner,Low,3,Business,4,Education,87853,0.0,Avoid Loan
31,1509266,52022,2120061,No,0,803,Beginner,Low,0,Business,3,Retirement,73750,0.0,Save
54,361816,18876,215928,No,0,787,Beginner,Low,5,Business,9,Education,11275,0.0,Save
41,2754257,42051,1010663,Yes,330261,703,Intermediate,Low,4,Salaried,9,Retirement,187470,0.12,Save
30,899935,66503,1617252,No,0,860,Expert,Low,1,Self-Employed,7,House,8491,0.0,Save
55,802337,29084,473088,Yes,876176,674,Beginner,Medium,3,Salaried,8,Education,37777,1.09,Avoid Loan
32,632885,36037,476705,No,0,391,Intermediate,Medium,2,Salaried,7,Education,16703,0.0,Avoid Loan
35,2371361,76365,1691076,Yes,2403379,530,Expert,High,2,Self-Employed,5,Retirement,121248,1.01,Avoid Loan
38,2063117,63957,1202594,Yes,2032778,436,Beginner,Low,4,Business,1,Retirement,107969,0.99,Avoid Loan
45,684125,49280,267175,Yes,2122716,449,Intermediate,Medium,3,Self-Employed,0,Wealth Creation,7730,3.1,Avoid Loan
43,280523,20313,1699289,Yes,1280521,442,Beginner,Low,5,Business,10,Retirement,3063,4.56,Avoid Loan
54,1974966,33773,98147,No,0,830,Beginner,Medium,2,Salaried,6,Education,130807,0.0,Save
38,878049,46174,139706,Yes,389631,849,Beginner,Low,0,Self-Employed,0,Retirement,26996,0.44,Save
27,1753882,82012,2049183,Yes,2368812,713,Expert,High,4,Business,5,Retirement,64144,1.35,Avoid Loan
22,458090,18755,238903,Yes,1402215,544,Beginner,Low,4,Salaried,2,House,19419,3.06,Avoid Loan
46,2284178,140932,1214519,No,0,849,Beginner,Medium,0,Business,4,Retirement,49416,0.0,Save
21,288579,16444,1379977,No,0,548,Expert,Medium,5,Business,0,Retirement,7604,0.0,Avoid Loan
26,2743422,153527,342570,Yes,137434,524,Beginner,Medium,4,Salaried,11,Education,75091,0.05,Avoid Loan
28,2028266,48504,147708,Yes,1726532,469,Intermediate,Low,5,Self-Employed,9,Wealth Creation,120518,0.85,Avoid Loan
34,1099724,24051,22045,No,0,465,Beginner,High,0,Salaried,4,Education,67592,0.0,Avoid Loan
49,1288049,46465,1151599,Yes,1273281,539,Expert,Medium,0,Salaried,8,Education,60872,0.99,Avoid Loan
49,2350672,29095,1177646,Yes,1584894,552,Expert,High,2,Self-Employed,6,Retirement,166794,0.67,Avoid Loan
60,1388196,75196,1737307,No,0,364,Expert,Medium,5,Salaried,11,Wealth Creation,40487,0.0,Avoid Loan
42,1895050,63197,1801096,No,0,384,Beginner,Low,2,Salaried,9,House,94723,0.0,Avoid Loan
35,497020,32599,152313,Yes,2163369,383,Intermediate,Medium,1,Business,5,House,8819,4.35,Avoid Loan
31,2638762,29152,675071,No,0,529,Beginner,Medium,3,Self-Employed,10,Wealth Creation,190744,0.0,Avoid Loan
41,1421471,96783,752629,Yes,2140856,774,Beginner,Medium,1,Self-Employed,9,Wealth Creation,21672,1.51,Avoid Loan
37,635546,26291,1085853,No,0,397,Beginner,Low,5,Self-Employed,5,Retirement,26671,0.0,Avoid Loan
36,475443,15010,1110809,Yes,2157489,728,Beginner,Medium,3,Self-Employed,1,Retirement,24610,4.54,Avoid Loan
57,2063122,96275,1378998,No,0,558,Beginner,High,2,Salaried,10,Wealth Creation,75651,0.0,Avoid Loan
37,2793574,184461,544280,Yes,1198186,581,Expert,Low,1,Business,9,Education,48336,0.43,Avoid Loan
60,2452818,125423,1383589,No,0,822,Expert,Low,1,Self-Employed,5,House,78978,0.0,Save
51,2164410,66291,2203457,Yes,1946316,519,Intermediate,Medium,0,Business,10,Wealth Creation,114076,0.9,Avoid Loan
22,2443344,161006,615137,Yes,1833192,404,Beginner,Low,1,Business,8,Wealth Creation,42606,0.75,Avoid Loan
26,915273,32008,2364293,No,0,893,Expert,Low,4,Self-Employed,12,House,44264,0.0,Invest
59,771211,21901,1853351,No,0,466,Intermediate,Medium,5,Self-Employed,7,Retirement,42366,0.0,Avoid Loan
23,1821572,128714,665932,No,0,606,Beginner,High,0,Self-Employed,10,Education,23083,0.0,Save
41,902992,55515,826496,Yes,999146,360,Intermediate,Medium,3,Salaried,10,Wealth Creation,19734,1.11,Avoid Loan
58,1993380,113371,571604,No,0,577,Intermediate,Low,4,Salaried,3,Education,52744,0.0,Avoid Loan
40,682581,48027,2342872,Yes,960880,643,Beginner,Low,5,Salaried,4,House,8854,1.41,Avoid Loan
46,405530,29763,1294441,No,0,670,Intermediate,Low,4,Self-Employed,11,Retirement,4031,0.0,Save
33,1526095,33471,2333766,No,0,370,Intermediate,Medium,2,Business,10,House,93703,0.0,Avoid Loan
37,1997089,140052,439949,Yes,806139,875,Expert,High,1,Self-Employed,4,Retirement,26372,0.4,Save
44,353323,21678,1829436,No,0,527,Intermediate,Low,2,Salaried,11,House,7765,0.0,Avoid Loan
45,1909329,104638,2235090,Yes,2180171,654,Expert,High,1,Self-Employed,0,Education,54472,1.14,Avoid Loan
55,1330176,46050,1544910,Yes,51283,460,Expert,Medium,4,Business,12,Retirement,64798,0.04,Avoid Loan
32,884899,60566,2344774,Yes,2357994,352,Intermediate,Low,0,Self-Employed,2,Retirement,13175,2.66,Avoid Loan
53,1607241,53169,812298,No,0,823,Beginner,Medium,4,Salaried,9,Education,80767,0.0,Invest
51,1810138,28973,542975,No,0,528,Intermediate,High,2,Self-Employed,9,Education,121871,0.0,Avoid Loan
60,2766200,76268,2417244,No,0,701,Beginner,Medium,1,Business,7,Retirement,154248,0.0,Save
53,1705531,37748,625798,Yes,2161298,795,Intermediate,Low,4,Salaried,2,Wealth Creation,104379,1.27,Avoid Loan
56,2660769,118693,2416393,No,0,411,Expert,Low,4,Business,2,Wealth Creation,103037,0.0,Avoid Loan
52,1075355,28531,1364859,Yes,1949468,840,Beginner,High,4,Salaried,7,House,61081,1.81,Avoid Loan
40,2419200,172176,111188,Yes,202939,850,Intermediate,Low,3,Salaried,4,Wealth Creation,29424,0.08,Save
56,2673018,59145,2164987,No,0,691,Beginner,Low,2,Self-Employed,10,Education,163606,0.0,Save
28,1704797,91122,516454,Yes,2401151,818,Expert,Low,5,Business,8,Wealth Creation,50944,1.41,Avoid Loan
33,1754049,30553,111153,No,0,613,Beginner,High,1,Self-Employed,4,Retirement,115617,0.0,Save
24,1669603,76215,2267810,Yes,376000,384,Beginner,High,4,Business,10,Retirement,62918,0.23,Avoid Loan
45,2503517,167386,1337678,Yes,213312,465,Beginner,High,2,Business,1,Wealth Creation,41240,0.09,Avoid Loan
46,1125536,55563,2445138,No,0,466,Intermediate,Low,3,Self-Employed,5,House,38231,0.0,Avoid Loan
45,2906319,186412,2125673,No,0,550,Beginner,High,2,Self-Employed,10,Retirement,55781,0.0,Avoid Loan
25,436059,27429,1814285,No,0,819,Intermediate,High,1,Salaried,12,Wealth Creation,8909,0.0,Save
54,2337643,52936,1684381,No,0,728,Expert,High,4,Self-Employed,1,House,141867,0.0,Save
33,634719,44064,95065,No,0,488,Beginner,Low,5,Self-Employed,2,Wealth Creation,8829,0.0,Avoid Loan
40,1709427,76591,1529362,No,0,590,Beginner,Medium,2,Self-Employed,3,Retirement,65861,0.0,Avoid Loan
55,2345019,63370,1130459,No,0,718,Beginner,Medium,0,Business,11,House,132048,0.0,Save
57,2134457,27654,1432622,No,0,504,Expert,Medium,1,Self-Employed,6,Wealth Creation,150217,0.0,Avoid Loan
45,1707012,18217,2469970,Yes,239083,496,Expert,High,5,Self-Employed,6,Education,124034,0.14,Avoid Loan
36,2495141,167016,794832,Yes,2492352,579,Beginner,Medium,5,Business,10,Retirement,40912,1.0,Avoid Loan
58,2135132,21508,1709940,Yes,1729293,370,Beginner,Low,4,Salaried,7,House,156419,0.81,Avoid Loan
56,607115,41027,2236009,No,0,541,Intermediate,High,3,Business,5,Wealth Creation,9565,0.0,Avoid Loan
38,2895013,113303,394236,No,0,540,Expert,Medium,2,Self-Employed,9,House,127948,0.0,Avoid Loan
25,613433,30012,437853,No,0,795,Intermediate,High,5,Salaried,2,Retirement,21107,0.0,Save
49,276617,15055,1348565,Yes,1651978,404,Beginner,Low,5,Salaried,6,Retirement,7996,5.97,Avoid Loan
34,1765331,105554,1542855,Yes,1446093,559,Expert,High,3,Salaried,6,House,41556,0.82,Avoid Loan
30,2055953,110248,2238679,Yes,795471,620,Beginner,Low,1,Self-Employed,4,Education,61081,0.39,Save
38,2858289,34565,1004807,Yes,2464310,553,Beginner,High,2,Salaried,10,Education,203625,0.86,Avoid Loan
50,1948403,136135,511864,Yes,1671608,781,Expert,High,2,Business,12,Retirement,26231,0.86,Avoid Loan
57,1895416,91328,1405464,Yes,1210451,524,Beginner,Medium,1,Salaried,8,Education,66623,0.64,Avoid Loan
58,2389183,149267,1964092,No,0,641,Beginner,Low,5,Business,6,Education,49831,0.0,Save
51,300318,18867,1191440,Yes,2153770,807,Expert,Medium,4,Business,8,Retirement,6159,7.17,Avoid Loan
36,263713,16585,161375,Yes,1343596,460,Intermediate,Low,3,Salaried,3,Education,5391,5.09,Avoid Loan
22,2133270,60621,1026278,Yes,980639,884,Beginner,High,5,Self-Employed,10,House,117151,0.46,Avoid Loan
42,1622202,79387,2026259,Yes,293535,454,Beginner,Low,1,Self-Employed,5,Retirement,55796,0.18,Avoid Loan
28,2907867,20932,2168168,Yes,310237,357,Intermediate,High,1,Self-Employed,0,House,221390,0.11,Avoid Loan
57,2859850,121236,1333922,Yes,56864,747,Expert,Low,2,Self-Employed,10,Wealth Creation,117084,0.02,Invest
54,578382,41220,687475,Yes,929887,485,Intermediate,Low,2,Business,2,Wealth Creation,6978,1.61,Avoid Loan
58,2392776,137908,72310,No,0,474,Intermediate,High,5,Self-Employed,7,Wealth Creation,61490,0.0,Avoid Loan
44,1829016,42029,2294080,No,0,526,Beginner,Medium,3,Business,3,Education,110389,0.0,Avoid Loan
40,2199096,54117,2349102,No,0,409,Beginner,Medium,5,Salaried,9,Education,129141,0.0,Avoid Loan
35,2739604,109238,1903280,No,0,406,Expert,Low,0,Salaried,1,House,119062,0.0,Avoid Loan
55,584540,43720,1204426,No,0,760,Beginner,Medium,1,Self-Employed,9,Education,4991,0.0,Save
48,718564,44648,356573,Yes,915776,819,Intermediate,Medium,0,Business,9,House,15232,1.27,Avoid Loan
23,1885342,21844,2439327,Yes,1752325,560,Intermediate,Low,0,Business,4,House,135267,0.93,Avoid Loan
38,1898444,66756,1555820,No,0,431,Beginner,Low,5,Business,12,Retirement,91447,0.0,Avoid Loan
54,490638,31523,2298011,No,0,724,Beginner,Medium,0,Self-Employed,7,Education,9363,0.0,Save
57,2313404,63506,164425,Yes,1209240,416,Intermediate,Medium,4,Salaried,5,Education,129277,0.52,Avoid Loan
32,1598877,44388,1882625,No,0,872,Intermediate,High,5,Business,7,Retirement,88851,0.0,Invest
31,1540718,40991,869263,No,0,750,Expert,Medium,2,Salaried,12,Retirement,87402,0.0,Invest
23,869428,49002,150228,Yes,91577,843,Beginner,Medium,2,Self-Employed,6,House,23450,0.11,Save
49,2505959,150534,799791,No,0,683,Expert,High,5,Business,3,Wealth Creation,58295,0.0,Save
45,2983091,76192,2017386,Yes,106748,494,Intermediate,Low,0,Self-Employed,9,Education,172398,0.04,Avoid Loan
41,2254396,82272,604821,No,0,373,Expert,Medium,2,Self-Employed,12,Education,105594,0.0,Avoid Loan
35,1790730,131447,1285742,No,0,646,Beginner,Medium,5,Self-Employed,7,Education,17780,0.0,Save
53,882502,64462,2186179,Yes,1267040,384,Expert,Medium,3,Salaried,1,Retirement,9079,1.44,Avoid Loan
28,2507712,77549,56932,Yes,424800,843,Intermediate,Medium,2,Business,12,Retirement,131427,0.17,Save
23,1023537,17286,536186,No,0,663,Expert,Medium,1,Self-Employed,11,House,68008,0.0,Save
50,2621783,111950,1261505,Yes,600057,565,Beginner,High,5,Self-Employed,9,Retirement,106531,0.23,Avoid Loan
45,2763514,17643,2129883,No,0,763,Beginner,High,3,Self-Employed,12,Education,212649,0.0,Invest
58,1866296,75475,2372291,No,0,830,Beginner,Low,0,Business,10,Retirement,80049,0.0,Invest
35,864972,51120,2390605,No,0,514,Beginner,Low,2,Salaried,7,Wealth Creation,20961,0.0,Avoid Loan
31,1133172,77729,1359301,No,0,476,Beginner,Low,4,Business,11,Retirement,16702,0.0,Avoid Loan
45,2481517,25718,571270,No,0,892,Intermediate,High,5,Salaried,12,House,181075,0.0,Invest
37,1903397,58442,575506,No,0,809,Expert,Medium,0,Salaried,7,Wealth Creation,100174,0.0,Invest
42,2756813,149392,1941926,No,0,499,Intermediate,High,1,Salaried,0,Retirement,80342,0.0,Avoid Loan
57,478458,33334,751123,Yes,2220692,628,Beginner,Medium,1,Self-Employed,11,Retirement,6537,4.64,Avoid Loan
57,2419995,89917,180078,Yes,1998674,362,Beginner,High,2,Self-Employed,8,Wealth Creation,111749,0.83,Avoid Loan
38,2401486,86871,1999807,Yes,920327,839,Intermediate,Medium,1,Salaried,7,Education,113252,0.38,Save
48,2778354,173876,1706208,Yes,919526,443,Expert,Medium,0,Salaried,12,Retirement,57653,0.33,Avoid Loan
52,2713089,187847,2285811,No,0,819,Beginner,Medium,0,Business,0,Retirement,38243,0.0,Save
60,1153011,23617,501376,Yes,1001788,378,Beginner,Medium,5,Salaried,10,Retirement,72467,0.87,Avoid Loan
30,1693914,38494,369197,Yes,276743,567,Intermediate,Medium,0,Business,8,Wealth Creation,102665,0.16,Avoid Loan
25,1734393,74214,1507553,Yes,1164895,883,Beginner,Medium,5,Self-Employed,8,Wealth Creation,70318,0.67,Avoid Loan
24,1130107,53832,2494749,No,0,746,Expert,Medium,5,Business,4,Wealth Creation,40343,0.0,Save
49,1692397,121706,670725,No,0,567,Intermediate,Medium,3,Self-Employed,0,House,19327,0.0,Avoid Loan
27,2012458,60346,2035072,No,0,364,Intermediate,Low,5,Business,8,Education,107358,0.0,Avoid Loan
50,2779944,140257,664879,Yes,963365,794,Beginner,High,3,Self-Employed,0,Retirement,91405,0.35,Save
42,2295206,165554,2302807,No,0,850,Beginner,Medium,3,Salaried,6,Education,25713,0.0,Invest
38,1636753,57920,2139517,No,0,604,Intermediate,Medium,4,Salaried,2,House,78476,0.0,Save
34,2111236,19663,2072142,No,0,513,Beginner,High,2,Self-Employed,0,House,156273,0.0,Avoid Loan
40,2868580,186082,2321602,Yes,328170,829,Beginner,High,0,Self-Employed,2,Education,52966,0.11,Save
32,2337692,36267,590007,Yes,1469184,768,Expert,Low,5,Salaried,8,Education,158540,0.63,Avoid Loan
38,916881,15212,927460,Yes,609668,507,Beginner,High,2,Business,1,Education,61194,0.66,Avoid Loan
54,2643543,180153,952378,Yes,2199400,584,Intermediate,High,4,Salaried,10,Wealth Creation,40142,0.83,Avoid Loan
39,719626,43943,2300683,Yes,2238139,366,Beginner,Low,2,Self-Employed,2,Education,16025,3.11,Avoid Loan
47,955250,36622,578987,No,0,369,Beginner,High,1,Self-Employed,12,Education,42982,0.0,Avoid Loan
50,2949898,135050,2077756,Yes,433950,484,Intermediate,Medium,5,Salaried,10,Retirement,110774,0.15,Avoid Loan
52,1969855,103455,720544,Yes,1588691,477,Beginner,High,1,Salaried,1,Education,60699,0.81,Avoid Loan
